Test loss: 3.5722224712371826, Accuracy: 19.97
Test loss: 3.0443878173828125, Accuracy: 26.240000000000002
Test loss: 2.7449758052825928, Accuracy: 31.380000000000003
Test loss: 2.5700736045837402, Accuracy: 34.73
Test loss: 2.4503307342529297, Accuracy: 37.37
Test loss: 2.3872745037078857, Accuracy: 39.050000000000004
Test loss: 2.3378586769104004, Accuracy: 40.32
Test loss: 2.2916107177734375, Accuracy: 42.02
Test loss: 2.255974054336548, Accuracy: 42.74
Test loss: 2.2123708724975586, Accuracy: 43.56
Test loss: 2.181382179260254, Accuracy: 44.47
Test loss: 2.1574349403381348, Accuracy: 44.85
Test loss: 2.126906633377075, Accuracy: 45.83
Test loss: 2.1164729595184326, Accuracy: 46.11
Test loss: 2.0958452224731445, Accuracy: 46.9
Test loss: 2.09029221534729, Accuracy: 47.339999999999996
Test loss: 2.095534563064575, Accuracy: 47.03
Test loss: 2.0839667320251465, Accuracy: 47.86
