Test loss: 3.108335256576538, Accuracy: 26.02
Test loss: 2.5985915660858154, Accuracy: 33.97
Test loss: 2.412076473236084, Accuracy: 38.03
Test loss: 2.308596134185791, Accuracy: 41.339999999999996
Test loss: 2.245990037918091, Accuracy: 43.120000000000005
Test loss: 2.228442668914795, Accuracy: 44.34
Test loss: 2.190706491470337, Accuracy: 45.29
Test loss: 2.1643028259277344, Accuracy: 46.06
Test loss: 2.152157783508301, Accuracy: 46.800000000000004
Test loss: 2.1300809383392334, Accuracy: 46.97
Test loss: 2.110518217086792, Accuracy: 47.82
Test loss: 2.099069833755493, Accuracy: 48.47
Test loss: 2.0703067779541016, Accuracy: 48.68
Test loss: 2.072676420211792, Accuracy: 48.77
Test loss: 2.075599193572998, Accuracy: 49.33
Test loss: 2.069211006164551, Accuracy: 49.14
Test loss: 2.0819849967956543, Accuracy: 49.18
Test loss: 2.0747575759887695, Accuracy: 49.43
