Test loss: 3.3938655853271484, Accuracy: 22.2
Test loss: 2.8708107471466064, Accuracy: 29.299999999999997
Test loss: 2.624774694442749, Accuracy: 34.03
Test loss: 2.446288824081421, Accuracy: 37.45
Test loss: 2.3595781326293945, Accuracy: 39.2
Test loss: 2.312504529953003, Accuracy: 41.13
Test loss: 2.263258695602417, Accuracy: 42.32
Test loss: 2.2351038455963135, Accuracy: 43.47
Test loss: 2.204887628555298, Accuracy: 44.379999999999995
Test loss: 2.176143169403076, Accuracy: 45.42
Test loss: 2.1492063999176025, Accuracy: 45.85
Test loss: 2.136512279510498, Accuracy: 46.29
Test loss: 2.108579397201538, Accuracy: 47.010000000000005
Test loss: 2.1018447875976562, Accuracy: 47.33
Test loss: 2.0957765579223633, Accuracy: 47.46
Test loss: 2.0949337482452393, Accuracy: 48.339999999999996
Test loss: 2.110710382461548, Accuracy: 48.51
Test loss: 2.0996155738830566, Accuracy: 48.89
