Test loss: 3.1206767559051514, Accuracy: 25.319999999999997
Test loss: 2.5999691486358643, Accuracy: 34.1
Test loss: 2.4151830673217773, Accuracy: 37.63
Test loss: 2.3207859992980957, Accuracy: 40.88
Test loss: 2.248365640640259, Accuracy: 42.980000000000004
Test loss: 2.22723388671875, Accuracy: 44.11
Test loss: 2.1943135261535645, Accuracy: 45.33
Test loss: 2.1604204177856445, Accuracy: 46.07
Test loss: 2.1527278423309326, Accuracy: 46.44
Test loss: 2.13466739654541, Accuracy: 47.13
Test loss: 2.0973243713378906, Accuracy: 47.870000000000005
Test loss: 2.070101022720337, Accuracy: 47.73
Test loss: 2.060225248336792, Accuracy: 48.309999999999995
Test loss: 2.0557682514190674, Accuracy: 48.27
Test loss: 2.055185079574585, Accuracy: 48.32
Test loss: 2.060624837875366, Accuracy: 48.5
Test loss: 2.0861897468566895, Accuracy: 48.52
Test loss: 2.0963826179504395, Accuracy: 48.4
