Test loss: 3.7582826614379883, Accuracy: 13.61
Test loss: 3.0847461223602295, Accuracy: 22.93
Test loss: 2.836186408996582, Accuracy: 28.749999999999996
Test loss: 2.5944125652313232, Accuracy: 33.410000000000004
Test loss: 2.5102105140686035, Accuracy: 34.73
Test loss: 2.4048848152160645, Accuracy: 37.669999999999995
Test loss: 2.3268542289733887, Accuracy: 39.23
Test loss: 2.2388951778411865, Accuracy: 41.46
Test loss: 2.246882200241089, Accuracy: 41.18
Test loss: 2.195472002029419, Accuracy: 42.53
Test loss: 2.16935133934021, Accuracy: 43.36
Test loss: 2.1969943046569824, Accuracy: 42.85
Test loss: 2.1388754844665527, Accuracy: 44.13
Test loss: 2.1491289138793945, Accuracy: 43.95
Test loss: 2.135451555252075, Accuracy: 44.21
Test loss: 2.1424036026000977, Accuracy: 43.62
Test loss: 2.0873613357543945, Accuracy: 45.36
Test loss: 2.050246000289917, Accuracy: 46.239999999999995
