Test loss: 3.5069563388824463, Accuracy: 18.5
Test loss: 2.86741042137146, Accuracy: 27.08
Test loss: 2.6152586936950684, Accuracy: 32.99
Test loss: 2.403486490249634, Accuracy: 37.32
Test loss: 2.3596115112304688, Accuracy: 37.7
Test loss: 2.2921133041381836, Accuracy: 39.82
Test loss: 2.215407371520996, Accuracy: 41.53
Test loss: 2.1575191020965576, Accuracy: 43.169999999999995
Test loss: 2.1523945331573486, Accuracy: 43.66
Test loss: 2.111279249191284, Accuracy: 44.17
Test loss: 2.084653377532959, Accuracy: 44.76
Test loss: 2.088618278503418, Accuracy: 44.58
Test loss: 2.060457706451416, Accuracy: 45.71
Test loss: 2.064152717590332, Accuracy: 45.75
Test loss: 2.0665886402130127, Accuracy: 45.73
Test loss: 2.058891534805298, Accuracy: 45.28
Test loss: 2.0247232913970947, Accuracy: 46.58
Test loss: 2.0078859329223633, Accuracy: 47.349999999999994
