Test loss: 3.8117964267730713, Accuracy: 12.36
Test loss: 3.1540348529815674, Accuracy: 22.33
Test loss: 2.871220111846924, Accuracy: 28.189999999999998
Test loss: 2.644788980484009, Accuracy: 32.379999999999995
Test loss: 2.546220302581787, Accuracy: 34.38
Test loss: 2.4353713989257812, Accuracy: 37.31
Test loss: 2.34073805809021, Accuracy: 38.879999999999995
Test loss: 2.2598628997802734, Accuracy: 41.0
Test loss: 2.254814624786377, Accuracy: 41.17
Test loss: 2.204119920730591, Accuracy: 42.39
Test loss: 2.177478551864624, Accuracy: 42.99
Test loss: 2.2044014930725098, Accuracy: 42.75
Test loss: 2.1410112380981445, Accuracy: 44.18
Test loss: 2.164949417114258, Accuracy: 43.830000000000005
Test loss: 2.1583218574523926, Accuracy: 44.01
Test loss: 2.149388313293457, Accuracy: 43.65
Test loss: 2.0946333408355713, Accuracy: 45.800000000000004
Test loss: 2.0718994140625, Accuracy: 46.29
