Test loss: 3.529693126678467, Accuracy: 18.279999999999998
Test loss: 2.931389331817627, Accuracy: 25.69
Test loss: 2.6432101726531982, Accuracy: 32.66
Test loss: 2.426079273223877, Accuracy: 36.5
Test loss: 2.3717963695526123, Accuracy: 37.63
Test loss: 2.297858238220215, Accuracy: 39.83
Test loss: 2.2372772693634033, Accuracy: 41.13
Test loss: 2.1749107837677, Accuracy: 43.1
Test loss: 2.194899797439575, Accuracy: 42.85
Test loss: 2.1591684818267822, Accuracy: 44.080000000000005
Test loss: 2.1519532203674316, Accuracy: 44.07
Test loss: 2.1533799171447754, Accuracy: 43.81
Test loss: 2.115863561630249, Accuracy: 44.68
Test loss: 2.103257894515991, Accuracy: 45.269999999999996
Test loss: 2.099299192428589, Accuracy: 44.519999999999996
Test loss: 2.0616419315338135, Accuracy: 45.59
Test loss: 2.054100513458252, Accuracy: 46.02
Test loss: 2.0457632541656494, Accuracy: 46.86
