Test loss: 1.7083044052124023, Accuracy: 40.52
Test loss: 1.4603933095932007, Accuracy: 46.0
Test loss: 1.3622817993164062, Accuracy: 49.81
Test loss: 1.256011962890625, Accuracy: 54.16
Test loss: 1.190674901008606, Accuracy: 57.04
Test loss: 1.12946617603302, Accuracy: 59.69
Test loss: 1.096644401550293, Accuracy: 61.63999999999999
Test loss: 1.0557243824005127, Accuracy: 63.42
Test loss: 1.0466246604919434, Accuracy: 64.51
Test loss: 1.0164791345596313, Accuracy: 66.2
Test loss: 1.0044714212417603, Accuracy: 67.07
Test loss: 0.9903333783149719, Accuracy: 68.0
Test loss: 0.9870901107788086, Accuracy: 69.07
Test loss: 0.9807091951370239, Accuracy: 69.28999999999999
Test loss: 0.9834781289100647, Accuracy: 69.76
Test loss: 0.9717500805854797, Accuracy: 70.53
Test loss: 0.9808881878852844, Accuracy: 70.11
Test loss: 0.9803312420845032, Accuracy: 70.55
Test loss: 0.9631602764129639, Accuracy: 70.83
Test loss: 0.9699844121932983, Accuracy: 71.36
