Test loss: 1.631105899810791, Accuracy: 40.92
Test loss: 1.3787297010421753, Accuracy: 49.45
Test loss: 1.2381596565246582, Accuracy: 55.50000000000001
Test loss: 1.1330488920211792, Accuracy: 59.56
Test loss: 1.0764942169189453, Accuracy: 62.239999999999995
Test loss: 1.0265531539916992, Accuracy: 64.81
Test loss: 1.0051132440567017, Accuracy: 66.44
Test loss: 0.9893154501914978, Accuracy: 67.45
Test loss: 0.967608630657196, Accuracy: 68.31
Test loss: 0.9541935324668884, Accuracy: 69.37
Test loss: 0.9671091437339783, Accuracy: 70.26
Test loss: 0.9486200213432312, Accuracy: 70.88
Test loss: 0.9567756652832031, Accuracy: 71.02000000000001
Test loss: 0.9601668119430542, Accuracy: 70.91
Test loss: 0.9456907510757446, Accuracy: 71.92
Test loss: 0.9470838904380798, Accuracy: 71.69
Test loss: 0.9474890828132629, Accuracy: 71.61
Test loss: 0.9393740892410278, Accuracy: 71.93
Test loss: 0.9334113597869873, Accuracy: 72.61
Test loss: 0.9460371136665344, Accuracy: 72.6
