Test loss: 1.7060908079147339, Accuracy: 39.44
Test loss: 1.4596257209777832, Accuracy: 46.6
Test loss: 1.3341723680496216, Accuracy: 51.01
Test loss: 1.2423230409622192, Accuracy: 54.75
Test loss: 1.1750015020370483, Accuracy: 57.620000000000005
Test loss: 1.1211013793945312, Accuracy: 60.58
Test loss: 1.0840678215026855, Accuracy: 62.260000000000005
Test loss: 1.0496535301208496, Accuracy: 64.36
Test loss: 1.019893765449524, Accuracy: 65.96
Test loss: 0.9968246817588806, Accuracy: 66.92
Test loss: 0.9939792156219482, Accuracy: 67.51
Test loss: 0.9820727109909058, Accuracy: 68.51
Test loss: 0.9921504855155945, Accuracy: 69.0
Test loss: 0.9702070355415344, Accuracy: 69.46
Test loss: 0.966877818107605, Accuracy: 69.98
Test loss: 0.9615219831466675, Accuracy: 70.77
Test loss: 0.9594264030456543, Accuracy: 70.83
Test loss: 0.9645047783851624, Accuracy: 71.05
Test loss: 0.9530898332595825, Accuracy: 71.17999999999999
Test loss: 0.9520272016525269, Accuracy: 71.72
