Test loss: 1.6358705759048462, Accuracy: 41.839999999999996
Test loss: 1.3582319021224976, Accuracy: 50.129999999999995
Test loss: 1.252575159072876, Accuracy: 54.36
Test loss: 1.150078296661377, Accuracy: 59.050000000000004
Test loss: 1.0811889171600342, Accuracy: 61.39
Test loss: 1.0295151472091675, Accuracy: 64.46
Test loss: 1.0138938426971436, Accuracy: 65.62
Test loss: 0.9796009063720703, Accuracy: 67.28
Test loss: 0.9740790128707886, Accuracy: 68.2
Test loss: 0.953774094581604, Accuracy: 69.45
Test loss: 0.9684726595878601, Accuracy: 69.57
Test loss: 0.9691740274429321, Accuracy: 70.00999999999999
Test loss: 0.9592508673667908, Accuracy: 71.0
Test loss: 0.9571149945259094, Accuracy: 71.06
Test loss: 0.9387264847755432, Accuracy: 72.11999999999999
Test loss: 0.9340881705284119, Accuracy: 71.83
Test loss: 0.9400766491889954, Accuracy: 71.94
Test loss: 0.9379137754440308, Accuracy: 71.8
Test loss: 0.9230719804763794, Accuracy: 72.42
Test loss: 0.93397456407547, Accuracy: 72.69
