Test loss: 1.8835994005203247, Accuracy: 29.459999999999997
Test loss: 1.6311155557632446, Accuracy: 36.78
Test loss: 1.5178039073944092, Accuracy: 41.93
Test loss: 1.4023929834365845, Accuracy: 45.87
Test loss: 1.3424499034881592, Accuracy: 49.61
Test loss: 1.33528733253479, Accuracy: 51.85999999999999
Test loss: 1.2287453413009644, Accuracy: 54.89000000000001
Test loss: 1.1655720472335815, Accuracy: 58.15
Test loss: 1.0944427251815796, Accuracy: 60.550000000000004
Test loss: 1.1022217273712158, Accuracy: 60.97
Test loss: 1.1077386140823364, Accuracy: 61.61
Test loss: 1.055017352104187, Accuracy: 63.27
Test loss: 1.06326162815094, Accuracy: 63.23
Test loss: 1.0241413116455078, Accuracy: 64.32
Test loss: 0.990064799785614, Accuracy: 66.5
Test loss: 1.0533275604248047, Accuracy: 65.02
Test loss: 1.0793720483779907, Accuracy: 64.74
Test loss: 0.986123263835907, Accuracy: 67.17
Test loss: 0.9384573698043823, Accuracy: 68.30000000000001
Test loss: 1.0330864191055298, Accuracy: 66.35
