Test loss: 1.7878295183181763, Accuracy: 33.53
Test loss: 1.5178980827331543, Accuracy: 41.43
Test loss: 1.3982691764831543, Accuracy: 46.52
Test loss: 1.2492425441741943, Accuracy: 53.73
Test loss: 1.271673560142517, Accuracy: 53.55
Test loss: 1.2700990438461304, Accuracy: 54.71
Test loss: 1.1053458452224731, Accuracy: 60.46
Test loss: 1.0555905103683472, Accuracy: 62.28
Test loss: 1.0162360668182373, Accuracy: 64.5
Test loss: 1.0051350593566895, Accuracy: 64.42
Test loss: 1.0622090101242065, Accuracy: 64.05
Test loss: 0.9855164885520935, Accuracy: 66.5
Test loss: 0.9886214137077332, Accuracy: 66.38
Test loss: 1.0169105529785156, Accuracy: 65.36
Test loss: 0.9320616126060486, Accuracy: 68.89
Test loss: 1.0032384395599365, Accuracy: 67.27
Test loss: 1.0582715272903442, Accuracy: 65.4
Test loss: 0.9370191693305969, Accuracy: 69.04
Test loss: 0.9324169754981995, Accuracy: 68.86
Test loss: 0.9739810824394226, Accuracy: 68.52000000000001
