Test loss: 2.5419440269470215, Accuracy: 10.0
Test loss: 2.254181146621704, Accuracy: 16.39
Test loss: 1.8235583305358887, Accuracy: 33.08
Test loss: 2.1901509761810303, Accuracy: 25.15
Test loss: 1.6399579048156738, Accuracy: 37.53
Test loss: 1.774146318435669, Accuracy: 40.12
Test loss: 1.8103253841400146, Accuracy: 40.75
Test loss: 1.2204022407531738, Accuracy: 55.559999999999995
Test loss: 1.292382001876831, Accuracy: 53.25
Test loss: 1.2413572072982788, Accuracy: 54.52
Test loss: 1.217771053314209, Accuracy: 57.410000000000004
Test loss: 1.2557352781295776, Accuracy: 56.3
Test loss: 1.0967957973480225, Accuracy: 61.63999999999999
Test loss: 1.1300938129425049, Accuracy: 60.870000000000005
Test loss: 1.1203809976577759, Accuracy: 61.839999999999996
Test loss: 1.071433663368225, Accuracy: 62.94
Test loss: 1.0594606399536133, Accuracy: 62.45
Test loss: 1.0536556243896484, Accuracy: 62.419999999999995
Test loss: 1.0848076343536377, Accuracy: 61.83
Test loss: 1.3914660215377808, Accuracy: 55.1
Test loss: 1.0410457849502563, Accuracy: 63.1
Test loss: 1.145907998085022, Accuracy: 61.47
Test loss: 1.1514896154403687, Accuracy: 59.29
Test loss: 1.0245847702026367, Accuracy: 64.25
Test loss: 1.1992920637130737, Accuracy: 58.269999999999996
Test loss: 1.0469764471054077, Accuracy: 64.02
Test loss: 1.0473413467407227, Accuracy: 64.32
Test loss: 1.0008553266525269, Accuracy: 65.27
Test loss: 0.9810891151428223, Accuracy: 65.86
Test loss: 1.027071475982666, Accuracy: 63.77
