Test loss: 1.8881237506866455, Accuracy: 30.73
Test loss: 1.6481297016143799, Accuracy: 36.26
Test loss: 1.5333993434906006, Accuracy: 41.56
Test loss: 1.3902630805969238, Accuracy: 47.32
Test loss: 1.3558441400527954, Accuracy: 48.809999999999995
Test loss: 1.3352952003479004, Accuracy: 51.12
Test loss: 1.2607579231262207, Accuracy: 53.669999999999995
Test loss: 1.170907974243164, Accuracy: 57.47
Test loss: 1.1344382762908936, Accuracy: 59.28
Test loss: 1.1207555532455444, Accuracy: 60.24
Test loss: 1.1177353858947754, Accuracy: 60.92999999999999
Test loss: 1.0683119297027588, Accuracy: 62.94
Test loss: 1.0652459859848022, Accuracy: 63.06
Test loss: 1.0450100898742676, Accuracy: 63.160000000000004
Test loss: 1.0027942657470703, Accuracy: 66.01
Test loss: 1.0642116069793701, Accuracy: 64.64999999999999
Test loss: 1.0930166244506836, Accuracy: 64.02
Test loss: 0.9843561053276062, Accuracy: 66.73
Test loss: 0.9503362774848938, Accuracy: 67.22
Test loss: 1.0516635179519653, Accuracy: 65.64
