Test loss: 1.8218265771865845, Accuracy: 32.019999999999996
Test loss: 1.5231914520263672, Accuracy: 41.6
Test loss: 1.400850772857666, Accuracy: 46.94
Test loss: 1.2546777725219727, Accuracy: 53.38
Test loss: 1.2558231353759766, Accuracy: 54.15
Test loss: 1.2420308589935303, Accuracy: 55.489999999999995
Test loss: 1.1224439144134521, Accuracy: 59.760000000000005
Test loss: 1.0533024072647095, Accuracy: 62.419999999999995
Test loss: 1.0003784894943237, Accuracy: 65.0
Test loss: 1.0274336338043213, Accuracy: 64.13
Test loss: 1.0674266815185547, Accuracy: 63.78
Test loss: 0.9860904216766357, Accuracy: 66.71000000000001
Test loss: 0.9889856576919556, Accuracy: 66.55
Test loss: 0.9962968826293945, Accuracy: 66.0
Test loss: 0.9279847741127014, Accuracy: 69.22
Test loss: 0.9918396472930908, Accuracy: 67.74
Test loss: 1.0627611875534058, Accuracy: 65.91
Test loss: 0.9444892406463623, Accuracy: 68.43
Test loss: 0.9080320000648499, Accuracy: 69.58
Test loss: 0.975674569606781, Accuracy: 68.62
