Test loss: 3.377150058746338, Accuracy: 17.478033721206366
Test loss: 2.4524900913238525, Accuracy: 40.70292092139634
Test loss: 1.8452187776565552, Accuracy: 55.28378057468535
Test loss: 1.370126724243164, Accuracy: 65.42388981239611
Test loss: 1.132194995880127, Accuracy: 70.22085015435763
Test loss: 0.982864260673523, Accuracy: 72.14438375682735
Test loss: 0.8731515407562256, Accuracy: 75.51650439325576
Test loss: 0.81276535987854, Accuracy: 76.98883875563999
Test loss: 0.7668271660804749, Accuracy: 77.65376395155545
Test loss: 0.7470503449440002, Accuracy: 79.07860365708858
Test loss: 0.7217276096343994, Accuracy: 79.268582284493
Test loss: 0.6888999938964844, Accuracy: 80.24222274994062
Test loss: 0.6792820692062378, Accuracy: 80.74091664687722
Test loss: 0.647733211517334, Accuracy: 81.26335787223937
Test loss: 0.6269130706787109, Accuracy: 81.76205176917597
Test loss: 0.6222538948059082, Accuracy: 81.95203039658038
