Test loss: 3.138216495513916, Accuracy: 24.45974827831869
Test loss: 2.1162919998168945, Accuracy: 51.3892187128948
Test loss: 1.467100739479065, Accuracy: 65.68511042507717
Test loss: 1.0943739414215088, Accuracy: 71.66943718831631
Test loss: 0.9419240951538086, Accuracy: 74.70909522678699
Test loss: 0.8150542378425598, Accuracy: 77.44003799572549
Test loss: 0.7437621355056763, Accuracy: 78.95986701496082
Test loss: 0.6910309195518494, Accuracy: 80.19472809308952
Test loss: 0.6512439250946045, Accuracy: 81.4533364996438
Test loss: 0.6435940861701965, Accuracy: 81.64331512704821
Test loss: 0.6215066313743591, Accuracy: 82.02327238185704
Test loss: 0.6031299829483032, Accuracy: 82.42697696509143
Test loss: 0.5957823991775513, Accuracy: 82.94941819045357
Test loss: 0.5716791152954102, Accuracy: 83.59059605794347
Test loss: 0.5539412498474121, Accuracy: 84.04179529802897
Test loss: 0.5469359755516052, Accuracy: 83.75682735692234
