Test loss: 3.3782637119293213, Accuracy: 16.813108525290904
Test loss: 2.4361138343811035, Accuracy: 41.58157207314177
Test loss: 1.8270150423049927, Accuracy: 55.68748515791974
Test loss: 1.3664692640304565, Accuracy: 65.68511042507717
Test loss: 1.124437689781189, Accuracy: 70.45832343861316
Test loss: 0.980242908000946, Accuracy: 72.12063642840181
Test loss: 0.8741697072982788, Accuracy: 75.5402517216813
Test loss: 0.8142781853675842, Accuracy: 76.94134409878889
Test loss: 0.7703743577003479, Accuracy: 77.60626929470435
Test loss: 0.7478971481323242, Accuracy: 78.98361434338636
Test loss: 0.723658561706543, Accuracy: 79.12609831393968
Test loss: 0.68714439868927, Accuracy: 80.52719069104725
Test loss: 0.6795451641082764, Accuracy: 80.47969603419615
Test loss: 0.6475298404693604, Accuracy: 81.47708382806934
Test loss: 0.6216639280319214, Accuracy: 82.54571360721918
Test loss: 0.6200435757637024, Accuracy: 81.92828306815483
