Test loss: 3.180760622024536, Accuracy: 27.11944906198053
Test loss: 2.134075164794922, Accuracy: 52.62407979102351
Test loss: 1.4937559366226196, Accuracy: 64.85395393018285
Test loss: 1.1116390228271484, Accuracy: 71.64568985989077
Test loss: 0.9448407888412476, Accuracy: 75.27903110900024
Test loss: 0.834227979183197, Accuracy: 77.01258608406553
Test loss: 0.7560746669769287, Accuracy: 78.8173830444075
Test loss: 0.702408492565155, Accuracy: 79.67228686772738
Test loss: 0.6545133590698242, Accuracy: 80.81215863215388
Test loss: 0.6544448137283325, Accuracy: 81.35834718594158
Test loss: 0.6258111000061035, Accuracy: 82.07076703870814
Test loss: 0.6089444756507874, Accuracy: 82.52196627879364
Test loss: 0.594073474407196, Accuracy: 83.16314414628354
Test loss: 0.5748613476753235, Accuracy: 83.37687010211351
Test loss: 0.5526494383811951, Accuracy: 84.23177392543339
Test loss: 0.5447611808776855, Accuracy: 83.8755639990501
