Test loss: 1.6150798797607422, Accuracy: 40.910000000000004
Test loss: 1.420378565788269, Accuracy: 48.64
Test loss: 1.2989989519119263, Accuracy: 52.96999999999999
Test loss: 1.2180103063583374, Accuracy: 55.88999999999999
Test loss: 1.1633543968200684, Accuracy: 58.730000000000004
Test loss: 1.109977126121521, Accuracy: 60.42999999999999
Test loss: 1.0682322978973389, Accuracy: 62.38
Test loss: 1.0302306413650513, Accuracy: 63.79
Test loss: 0.9880446791648865, Accuracy: 65.59
Test loss: 0.9628964066505432, Accuracy: 66.92
Test loss: 0.9566966891288757, Accuracy: 66.84
Test loss: 0.9349295496940613, Accuracy: 68.02
Test loss: 0.9219548106193542, Accuracy: 68.43
Test loss: 0.9242662191390991, Accuracy: 68.84
Test loss: 0.896325409412384, Accuracy: 69.43
Test loss: 0.878461480140686, Accuracy: 70.27
Test loss: 0.8683937788009644, Accuracy: 70.84
Test loss: 0.8560274243354797, Accuracy: 70.95
Test loss: 0.8646733164787292, Accuracy: 71.12
Test loss: 0.845291256904602, Accuracy: 71.45
