Test loss: 2.2469301223754883, Accuracy: 16.96
Test loss: 2.160764217376709, Accuracy: 18.89
Test loss: 2.076687812805176, Accuracy: 22.12
Test loss: 1.9658654928207397, Accuracy: 25.64
Test loss: 1.9066756963729858, Accuracy: 29.330000000000002
Test loss: 1.8360389471054077, Accuracy: 30.270000000000003
Test loss: 1.7866711616516113, Accuracy: 31.22
Test loss: 1.7491626739501953, Accuracy: 31.480000000000004
Test loss: 1.7115932703018188, Accuracy: 34.489999999999995
Test loss: 1.6801670789718628, Accuracy: 34.38
Test loss: 1.65143620967865, Accuracy: 36.84
Test loss: 1.638817548751831, Accuracy: 38.62
Test loss: 1.6011031866073608, Accuracy: 38.190000000000005
Test loss: 1.5562015771865845, Accuracy: 41.339999999999996
Test loss: 1.534711241722107, Accuracy: 41.79
Test loss: 1.5114014148712158, Accuracy: 42.089999999999996
Test loss: 1.4772354364395142, Accuracy: 44.04
Test loss: 1.4573805332183838, Accuracy: 44.62
Test loss: 1.440122127532959, Accuracy: 44.84
Test loss: 1.4302852153778076, Accuracy: 45.97
