Test loss: 2.256147861480713, Accuracy: 17.06
Test loss: 2.1595370769500732, Accuracy: 19.56
Test loss: 2.06623911857605, Accuracy: 22.17
Test loss: 1.9622693061828613, Accuracy: 26.91
Test loss: 1.886376976966858, Accuracy: 29.84
Test loss: 1.8238574266433716, Accuracy: 31.11
Test loss: 1.7786575555801392, Accuracy: 31.96
Test loss: 1.746737003326416, Accuracy: 33.68
Test loss: 1.7147988080978394, Accuracy: 33.410000000000004
Test loss: 1.6819952726364136, Accuracy: 34.13
Test loss: 1.6502704620361328, Accuracy: 37.230000000000004
Test loss: 1.6378068923950195, Accuracy: 38.73
Test loss: 1.5931493043899536, Accuracy: 38.269999999999996
Test loss: 1.5587584972381592, Accuracy: 40.949999999999996
Test loss: 1.5361053943634033, Accuracy: 42.25
Test loss: 1.5082225799560547, Accuracy: 42.46
Test loss: 1.4726368188858032, Accuracy: 43.9
Test loss: 1.4617151021957397, Accuracy: 44.519999999999996
Test loss: 1.4368691444396973, Accuracy: 45.34
Test loss: 1.4251173734664917, Accuracy: 46.11
