Test loss: 2.2556662559509277, Accuracy: 14.899999999999999
Test loss: 2.174467086791992, Accuracy: 18.52
Test loss: 2.072739362716675, Accuracy: 21.94
Test loss: 1.982621431350708, Accuracy: 25.88
Test loss: 1.8874777555465698, Accuracy: 29.39
Test loss: 1.8298102617263794, Accuracy: 30.4
Test loss: 1.7844895124435425, Accuracy: 31.3
Test loss: 1.742708683013916, Accuracy: 32.84
Test loss: 1.726911187171936, Accuracy: 32.029999999999994
Test loss: 1.6908190250396729, Accuracy: 32.79
Test loss: 1.6614654064178467, Accuracy: 34.65
Test loss: 1.6402976512908936, Accuracy: 38.3
Test loss: 1.5906572341918945, Accuracy: 38.59
Test loss: 1.5520485639572144, Accuracy: 40.73
Test loss: 1.518505334854126, Accuracy: 42.8
Test loss: 1.5023449659347534, Accuracy: 42.970000000000006
Test loss: 1.4783395528793335, Accuracy: 43.81
Test loss: 1.4634084701538086, Accuracy: 43.97
Test loss: 1.4357980489730835, Accuracy: 45.29
Test loss: 1.4229140281677246, Accuracy: 46.54
