Test loss: 2.2980880737304688, Accuracy: 12.1
Test loss: 2.2936017513275146, Accuracy: 13.0
Test loss: 2.289048671722412, Accuracy: 19.189999999999998
Test loss: 2.284062623977661, Accuracy: 28.999999999999996
Test loss: 2.2785229682922363, Accuracy: 31.05
Test loss: 2.2717299461364746, Accuracy: 32.66
Test loss: 2.263715982437134, Accuracy: 35.3
Test loss: 2.2533788681030273, Accuracy: 38.89
Test loss: 2.240673303604126, Accuracy: 41.349999999999994
Test loss: 2.2247753143310547, Accuracy: 43.38
Test loss: 2.203465700149536, Accuracy: 44.84
Test loss: 2.1749722957611084, Accuracy: 47.75
Test loss: 2.137256622314453, Accuracy: 51.44
Test loss: 2.078981876373291, Accuracy: 56.47
Test loss: 1.9981014728546143, Accuracy: 61.45
Test loss: 1.883833408355713, Accuracy: 63.580000000000005
Test loss: 1.723266363143921, Accuracy: 65.03
Test loss: 1.5158240795135498, Accuracy: 67.35
Test loss: 1.331812858581543, Accuracy: 69.98
Test loss: 1.9551243782043457, Accuracy: 59.57
Test loss: 1.4218143224716187, Accuracy: 63.519999999999996
Test loss: 1.314577579498291, Accuracy: 57.17
Test loss: 0.9359880685806274, Accuracy: 75.3
Test loss: 0.9535349011421204, Accuracy: 72.76
Test loss: 1.0573303699493408, Accuracy: 67.08
Test loss: 0.752029538154602, Accuracy: 76.92999999999999
Test loss: 0.7986504435539246, Accuracy: 73.75
Test loss: 0.8215671181678772, Accuracy: 71.12
Test loss: 0.7424356341362, Accuracy: 75.19
Test loss: 0.6255526542663574, Accuracy: 81.25
Test loss: 0.5899924635887146, Accuracy: 80.83
Test loss: 0.5502362251281738, Accuracy: 82.73
Test loss: 0.5237103700637817, Accuracy: 83.75
Test loss: 0.6073159575462341, Accuracy: 79.01
Test loss: 0.5372143387794495, Accuracy: 82.76
Test loss: 0.49534520506858826, Accuracy: 84.76
Test loss: 0.4966215491294861, Accuracy: 83.89
Test loss: 0.521738588809967, Accuracy: 82.96
Test loss: 0.42633315920829773, Accuracy: 87.6
Test loss: 0.41115009784698486, Accuracy: 87.96000000000001
Test loss: 0.4028697907924652, Accuracy: 88.07000000000001
Test loss: 0.4052819013595581, Accuracy: 86.83
Test loss: 0.4075556695461273, Accuracy: 87.18
Test loss: 0.40804916620254517, Accuracy: 86.42999999999999
Test loss: 0.39047789573669434, Accuracy: 88.31
Test loss: 0.44906342029571533, Accuracy: 85.11
Test loss: 0.3534398078918457, Accuracy: 89.63
Test loss: 0.33535370230674744, Accuracy: 90.34
Test loss: 0.3264150321483612, Accuracy: 90.45
Test loss: 0.3208536207675934, Accuracy: 90.62
Test loss: 0.31502941250801086, Accuracy: 90.85
Test loss: 0.30803245306015015, Accuracy: 91.05
Test loss: 0.3025056719779968, Accuracy: 91.08000000000001
Test loss: 0.2989231050014496, Accuracy: 91.08000000000001
Test loss: 0.2935831546783447, Accuracy: 91.41
Test loss: 0.3074492812156677, Accuracy: 90.81
Test loss: 0.309429794549942, Accuracy: 90.73
Test loss: 0.46591535210609436, Accuracy: 85.69
Test loss: 0.2882106900215149, Accuracy: 91.34
Test loss: 0.27119898796081543, Accuracy: 91.9
Test loss: 0.26785531640052795, Accuracy: 92.14
Test loss: 0.2637866139411926, Accuracy: 92.32000000000001
Test loss: 0.26054930686950684, Accuracy: 92.25999999999999
Test loss: 0.25788018107414246, Accuracy: 92.63
Test loss: 0.2542659342288971, Accuracy: 92.5
Test loss: 0.2500097155570984, Accuracy: 92.49000000000001
Test loss: 0.24367454648017883, Accuracy: 92.77
Test loss: 0.24042877554893494, Accuracy: 92.62
Test loss: 0.26083821058273315, Accuracy: 91.91
Test loss: 0.24673935770988464, Accuracy: 92.53
Test loss: 0.23161476850509644, Accuracy: 93.21000000000001
Test loss: 0.22427643835544586, Accuracy: 93.62
Test loss: 0.22096505761146545, Accuracy: 93.52000000000001
Test loss: 0.21887759864330292, Accuracy: 93.53
Test loss: 0.21658524870872498, Accuracy: 93.66
Test loss: 0.2118893712759018, Accuracy: 93.77
Test loss: 0.20978587865829468, Accuracy: 93.78
Test loss: 0.20625758171081543, Accuracy: 93.85
Test loss: 0.20422188937664032, Accuracy: 93.78
Test loss: 0.19988013803958893, Accuracy: 94.06
