Test loss: 2.2980844974517822, Accuracy: 12.1
Test loss: 2.293609380722046, Accuracy: 12.98
Test loss: 2.289048671722412, Accuracy: 19.16
Test loss: 2.2840588092803955, Accuracy: 28.92
Test loss: 2.278482675552368, Accuracy: 31.069999999999997
Test loss: 2.2716498374938965, Accuracy: 32.78
Test loss: 2.2635998725891113, Accuracy: 35.39
Test loss: 2.2532434463500977, Accuracy: 38.89
Test loss: 2.2404065132141113, Accuracy: 41.46
Test loss: 2.2244045734405518, Accuracy: 43.35
Test loss: 2.202946186065674, Accuracy: 44.89
Test loss: 2.174222946166992, Accuracy: 47.93
Test loss: 2.136073112487793, Accuracy: 51.559999999999995
Test loss: 2.077299118041992, Accuracy: 56.43
Test loss: 1.99551522731781, Accuracy: 61.550000000000004
Test loss: 1.8802992105484009, Accuracy: 63.61
Test loss: 1.7185678482055664, Accuracy: 64.97
Test loss: 1.50983464717865, Accuracy: 67.32000000000001
Test loss: 1.3307231664657593, Accuracy: 69.69
Test loss: 1.953127145767212, Accuracy: 59.3
Test loss: 1.4156700372695923, Accuracy: 64.05999999999999
Test loss: 1.2958636283874512, Accuracy: 57.940000000000005
Test loss: 0.937108039855957, Accuracy: 74.95
Test loss: 0.940717339515686, Accuracy: 72.74000000000001
Test loss: 1.0712594985961914, Accuracy: 66.25999999999999
Test loss: 0.7641919255256653, Accuracy: 76.58
Test loss: 0.8630020618438721, Accuracy: 71.93
Test loss: 0.6659261584281921, Accuracy: 79.07
Test loss: 0.8359634876251221, Accuracy: 74.42
Test loss: 0.7587512135505676, Accuracy: 74.29
Test loss: 0.6038249731063843, Accuracy: 80.53
Test loss: 0.5452244877815247, Accuracy: 83.85000000000001
Test loss: 0.5035904049873352, Accuracy: 84.31
Test loss: 0.5415585041046143, Accuracy: 81.69
Test loss: 0.5425224304199219, Accuracy: 82.24000000000001
Test loss: 0.4803338050842285, Accuracy: 86.04
Test loss: 0.5134140253067017, Accuracy: 81.8
Test loss: 0.4740072190761566, Accuracy: 85.03
Test loss: 0.47419214248657227, Accuracy: 84.61
Test loss: 0.4770243167877197, Accuracy: 84.88
Test loss: 0.4218406677246094, Accuracy: 87.7
Test loss: 0.3839421570301056, Accuracy: 88.85
Test loss: 0.3856058418750763, Accuracy: 88.64999999999999
Test loss: 0.39431387186050415, Accuracy: 88.03999999999999
Test loss: 0.476620078086853, Accuracy: 84.44
Test loss: 0.35354626178741455, Accuracy: 89.92999999999999
Test loss: 0.3407532572746277, Accuracy: 90.25
Test loss: 0.33412569761276245, Accuracy: 90.3
Test loss: 0.3294934034347534, Accuracy: 90.36
Test loss: 0.32726699113845825, Accuracy: 90.52
Test loss: 0.3222173750400543, Accuracy: 90.32
Test loss: 0.31431305408477783, Accuracy: 90.74
Test loss: 0.31222277879714966, Accuracy: 90.49000000000001
Test loss: 0.3483333885669708, Accuracy: 88.5
Test loss: 0.30964383482933044, Accuracy: 90.60000000000001
Test loss: 0.29040202498435974, Accuracy: 91.66
Test loss: 0.2866813540458679, Accuracy: 91.56
Test loss: 0.28358158469200134, Accuracy: 91.67999999999999
Test loss: 0.29962044954299927, Accuracy: 90.93
Test loss: 0.2789216637611389, Accuracy: 91.7
Test loss: 0.29508718848228455, Accuracy: 91.02
Test loss: 0.2611984610557556, Accuracy: 92.30000000000001
Test loss: 0.2569812536239624, Accuracy: 92.35
Test loss: 0.25343436002731323, Accuracy: 92.63
Test loss: 0.2497836798429489, Accuracy: 92.82000000000001
Test loss: 0.24611873924732208, Accuracy: 92.80000000000001
Test loss: 0.23905913531780243, Accuracy: 92.99
Test loss: 0.23604534566402435, Accuracy: 93.01
Test loss: 0.24056188762187958, Accuracy: 92.91
Test loss: 0.2361762523651123, Accuracy: 92.88
Test loss: 0.22800785303115845, Accuracy: 93.47
Test loss: 0.2225223183631897, Accuracy: 93.56
Test loss: 0.21984025835990906, Accuracy: 93.56
Test loss: 0.2172551155090332, Accuracy: 93.47999999999999
Test loss: 0.2156778872013092, Accuracy: 93.75
Test loss: 0.2110678106546402, Accuracy: 93.75
Test loss: 0.20826326310634613, Accuracy: 93.82000000000001
Test loss: 0.20427051186561584, Accuracy: 93.97
Test loss: 0.20251233875751495, Accuracy: 93.83
Test loss: 0.19850246608257294, Accuracy: 94.07
