Test loss: 2.295689344406128, Accuracy: 14.56
Test loss: 2.288815498352051, Accuracy: 20.849999999999998
Test loss: 2.2818498611450195, Accuracy: 32.67
Test loss: 2.2743828296661377, Accuracy: 41.67
Test loss: 2.2646782398223877, Accuracy: 44.03
Test loss: 2.2539281845092773, Accuracy: 44.769999999999996
Test loss: 2.2360639572143555, Accuracy: 44.95
Test loss: 2.2216198444366455, Accuracy: 35.21
Test loss: 2.2049131393432617, Accuracy: 39.03
Test loss: 2.162896156311035, Accuracy: 45.81
Test loss: 2.1057181358337402, Accuracy: 54.85
Test loss: 2.06642746925354, Accuracy: 39.46
Test loss: 1.8742705583572388, Accuracy: 52.89
Test loss: 1.735484004020691, Accuracy: 51.66
Test loss: 2.5792009830474854, Accuracy: 18.92
Test loss: 1.9667991399765015, Accuracy: 49.04
Test loss: 1.8277947902679443, Accuracy: 32.879999999999995
Test loss: 3.255413293838501, Accuracy: 13.61
Test loss: 2.026918649673462, Accuracy: 34.06
Test loss: 2.3114466667175293, Accuracy: 34.88
Test loss: 3.5956387519836426, Accuracy: 18.58
Test loss: 25.682987213134766, Accuracy: 10.879999999999999
Test loss: 3.31988263130188, Accuracy: 10.92
Test loss: 10.304929733276367, Accuracy: 8.35
Test loss: 25.41604232788086, Accuracy: 12.22
Test loss: 20.046062469482422, Accuracy: 10.31
Test loss: 4.251330852508545, Accuracy: 8.97
Test loss: 912.4334106445312, Accuracy: 9.65
Test loss: 347901198336.0, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
