{'eval_loss': 2.9951794147491455, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.056293149229952204, 'eval_runtime': 8.7195, 'eval_samples_per_second': 863.811, 'eval_steps_per_second': 54.017}
{'eval_loss': 2.9823005199432373, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.06346255974508763, 'eval_runtime': 9.0154, 'eval_samples_per_second': 835.456, 'eval_steps_per_second': 52.244}
{'eval_loss': 2.937769651412964, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.09572490706319703, 'eval_runtime': 9.1878, 'eval_samples_per_second': 819.784, 'eval_steps_per_second': 51.264}
{'eval_loss': 2.8762753009796143, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.16250663834306958, 'eval_runtime': 9.1242, 'eval_samples_per_second': 825.495, 'eval_steps_per_second': 51.621}
{'eval_loss': 2.8028383255004883, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.21999468932554433, 'eval_runtime': 9.0559, 'eval_samples_per_second': 831.721, 'eval_steps_per_second': 52.01}
{'eval_loss': 2.726489543914795, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.2579660116834838, 'eval_runtime': 8.974, 'eval_samples_per_second': 839.318, 'eval_steps_per_second': 52.485}
{'eval_loss': 2.6651816368103027, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.2582315454062666, 'eval_runtime': 8.9266, 'eval_samples_per_second': 843.768, 'eval_steps_per_second': 52.764}
{'eval_loss': 2.6126153469085693, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.27071163037705787, 'eval_runtime': 8.8635, 'eval_samples_per_second': 849.778, 'eval_steps_per_second': 53.139}
{'eval_loss': 2.5621607303619385, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.29115772703133297, 'eval_runtime': 8.8729, 'eval_samples_per_second': 848.878, 'eval_steps_per_second': 53.083}
{'eval_loss': 2.5142619609832764, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.3235528412108338, 'eval_runtime': 8.805, 'eval_samples_per_second': 855.425, 'eval_steps_per_second': 53.492}
{'eval_loss': 2.475231647491455, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.34386617100371747, 'eval_runtime': 8.8382, 'eval_samples_per_second': 852.21, 'eval_steps_per_second': 53.291}
{'eval_loss': 2.4412121772766113, 'eval_model_preparation_time': 0.0034, 'eval_acc': 0.3712161444503452, 'eval_runtime': 8.8993, 'eval_samples_per_second': 846.357, 'eval_steps_per_second': 52.925}
{'eval_loss': 2.405913829803467, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.36988847583643125, 'eval_runtime': 8.9098, 'eval_samples_per_second': 845.362, 'eval_steps_per_second': 52.863}
{'eval_loss': 2.368856906890869, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.37652681890600104, 'eval_runtime': 8.8911, 'eval_samples_per_second': 847.135, 'eval_steps_per_second': 52.974}
{'eval_loss': 2.3365936279296875, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.3667020711630377, 'eval_runtime': 8.8319, 'eval_samples_per_second': 852.816, 'eval_steps_per_second': 53.329}
{'eval_loss': 2.3136842250823975, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.38953797132235796, 'eval_runtime': 8.8784, 'eval_samples_per_second': 848.352, 'eval_steps_per_second': 53.05}
{'eval_loss': 2.2866218090057373, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.39697291556027614, 'eval_runtime': 8.8753, 'eval_samples_per_second': 848.649, 'eval_steps_per_second': 53.069}
{'eval_loss': 2.2641353607177734, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.3821030270844397, 'eval_runtime': 8.8938, 'eval_samples_per_second': 846.887, 'eval_steps_per_second': 52.959}
{'eval_loss': 2.2473244667053223, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.39232607541157727, 'eval_runtime': 8.9198, 'eval_samples_per_second': 844.411, 'eval_steps_per_second': 52.804}
{'eval_loss': 2.2329213619232178, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3948486457780138, 'eval_runtime': 8.9153, 'eval_samples_per_second': 844.838, 'eval_steps_per_second': 52.83}
{'eval_loss': 2.214945077896118, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3993627190653213, 'eval_runtime': 8.8878, 'eval_samples_per_second': 847.452, 'eval_steps_per_second': 52.994}
{'eval_loss': 2.1959214210510254, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.4071959638874137, 'eval_runtime': 8.878, 'eval_samples_per_second': 848.391, 'eval_steps_per_second': 53.053}
{'eval_loss': 2.1860530376434326, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.38860860329261815, 'eval_runtime': 8.853, 'eval_samples_per_second': 850.785, 'eval_steps_per_second': 53.202}
{'eval_loss': 2.1721041202545166, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.41250663834306955, 'eval_runtime': 8.8436, 'eval_samples_per_second': 851.689, 'eval_steps_per_second': 53.259}
{'eval_loss': 2.164846658706665, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.4114445034519384, 'eval_runtime': 8.8169, 'eval_samples_per_second': 854.265, 'eval_steps_per_second': 53.42}
{'eval_loss': 2.1492719650268555, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.4326872012745619, 'eval_runtime': 8.8117, 'eval_samples_per_second': 854.775, 'eval_steps_per_second': 53.452}
{'eval_loss': 2.138522148132324, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.43640467339352096, 'eval_runtime': 8.7758, 'eval_samples_per_second': 858.265, 'eval_steps_per_second': 53.67}
