{'eval_loss': 2.986083507537842, 'eval_model_preparation_time': 0.0025, 'eval_acc': 0.058682952734997344, 'eval_runtime': 8.7061, 'eval_samples_per_second': 865.139, 'eval_steps_per_second': 54.1}
{'eval_loss': 2.870616912841797, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.1498937865108869, 'eval_runtime': 8.9537, 'eval_samples_per_second': 841.22, 'eval_steps_per_second': 52.604}
{'eval_loss': 2.629450798034668, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.26035581518852896, 'eval_runtime': 9.0876, 'eval_samples_per_second': 828.826, 'eval_steps_per_second': 51.829}
{'eval_loss': 2.456702470779419, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3054965480616038, 'eval_runtime': 9.15, 'eval_samples_per_second': 823.173, 'eval_steps_per_second': 51.476}
{'eval_loss': 2.3246102333068848, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3587360594795539, 'eval_runtime': 9.2071, 'eval_samples_per_second': 818.061, 'eval_steps_per_second': 51.156}
{'eval_loss': 2.207897663116455, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.4144981412639405, 'eval_runtime': 9.1974, 'eval_samples_per_second': 818.927, 'eval_steps_per_second': 51.21}
{'eval_loss': 2.13033390045166, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.39856611789697294, 'eval_runtime': 9.21, 'eval_samples_per_second': 817.809, 'eval_steps_per_second': 51.14}
{'eval_loss': 2.067833662033081, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.44211364843335105, 'eval_runtime': 9.2247, 'eval_samples_per_second': 816.502, 'eval_steps_per_second': 51.058}
{'eval_loss': 2.0221176147460938, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.48194370685077004, 'eval_runtime': 9.1496, 'eval_samples_per_second': 823.21, 'eval_steps_per_second': 51.478}
{'eval_loss': 1.97299063205719, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.4682687201274562, 'eval_runtime': 9.1294, 'eval_samples_per_second': 825.028, 'eval_steps_per_second': 51.592}
{'eval_loss': 1.937806248664856, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.4970791290493893, 'eval_runtime': 9.2931, 'eval_samples_per_second': 810.495, 'eval_steps_per_second': 50.683}
{'eval_loss': 1.8970171213150024, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.5234997344662772, 'eval_runtime': 9.2065, 'eval_samples_per_second': 818.116, 'eval_steps_per_second': 51.159}
{'eval_loss': 1.859033226966858, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.5313329792883696, 'eval_runtime': 9.2052, 'eval_samples_per_second': 818.237, 'eval_steps_per_second': 51.167}
{'eval_loss': 1.8297220468521118, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.544875199150292, 'eval_runtime': 9.1951, 'eval_samples_per_second': 819.136, 'eval_steps_per_second': 51.223}
{'eval_loss': 1.805098533630371, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.5484599044078597, 'eval_runtime': 9.1772, 'eval_samples_per_second': 820.734, 'eval_steps_per_second': 51.323}
{'eval_loss': 1.7842496633529663, 'eval_model_preparation_time': 0.0025, 'eval_acc': 0.567578332448221, 'eval_runtime': 9.1618, 'eval_samples_per_second': 822.107, 'eval_steps_per_second': 51.409}
{'eval_loss': 1.754856824874878, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.574614976101965, 'eval_runtime': 9.098, 'eval_samples_per_second': 827.877, 'eval_steps_per_second': 51.77}
{'eval_loss': 1.7379629611968994, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.5776686139139671, 'eval_runtime': 9.0772, 'eval_samples_per_second': 829.767, 'eval_steps_per_second': 51.888}
{'eval_loss': 1.721134066581726, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.5800584174190122, 'eval_runtime': 9.0749, 'eval_samples_per_second': 829.983, 'eval_steps_per_second': 51.901}
{'eval_loss': 1.7163015604019165, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.5807222517259693, 'eval_runtime': 9.123, 'eval_samples_per_second': 825.609, 'eval_steps_per_second': 51.628}
{'eval_loss': 1.6958271265029907, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.5889537971322358, 'eval_runtime': 9.0903, 'eval_samples_per_second': 828.574, 'eval_steps_per_second': 51.813}
{'eval_loss': 1.685081958770752, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.5947955390334573, 'eval_runtime': 9.1108, 'eval_samples_per_second': 826.714, 'eval_steps_per_second': 51.697}
{'eval_loss': 1.666826605796814, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.5934678704195433, 'eval_runtime': 9.1081, 'eval_samples_per_second': 826.952, 'eval_steps_per_second': 51.712}
{'eval_loss': 1.6551424264907837, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.598380244291025, 'eval_runtime': 9.1241, 'eval_samples_per_second': 825.506, 'eval_steps_per_second': 51.622}
{'eval_loss': 1.6554417610168457, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.5959904407859798, 'eval_runtime': 9.111, 'eval_samples_per_second': 826.697, 'eval_steps_per_second': 51.696}
{'eval_loss': 1.6442861557006836, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6015666489644185, 'eval_runtime': 9.1514, 'eval_samples_per_second': 823.047, 'eval_steps_per_second': 51.468}
{'eval_loss': 1.6367024183273315, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.598380244291025, 'eval_runtime': 9.1204, 'eval_samples_per_second': 825.84, 'eval_steps_per_second': 51.642}
{'eval_loss': 1.6227113008499146, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6087360594795539, 'eval_runtime': 9.1171, 'eval_samples_per_second': 826.141, 'eval_steps_per_second': 51.661}
{'eval_loss': 1.6155297756195068, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6066117896972916, 'eval_runtime': 9.1456, 'eval_samples_per_second': 823.569, 'eval_steps_per_second': 51.5}
{'eval_loss': 1.614231824874878, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6058151885289432, 'eval_runtime': 9.1676, 'eval_samples_per_second': 821.585, 'eval_steps_per_second': 51.376}
{'eval_loss': 1.6043620109558105, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6123207647371216, 'eval_runtime': 9.1297, 'eval_samples_per_second': 824.999, 'eval_steps_per_second': 51.59}
{'eval_loss': 1.6035008430480957, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6160382368560807, 'eval_runtime': 9.0952, 'eval_samples_per_second': 828.127, 'eval_steps_per_second': 51.785}
{'eval_loss': 1.601162075996399, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.615108868826341, 'eval_runtime': 9.1444, 'eval_samples_per_second': 823.677, 'eval_steps_per_second': 51.507}
{'eval_loss': 1.6006730794906616, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.613781200212427, 'eval_runtime': 9.1407, 'eval_samples_per_second': 824.004, 'eval_steps_per_second': 51.528}
{'eval_loss': 1.5878901481628418, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6212161444503452, 'eval_runtime': 9.1445, 'eval_samples_per_second': 823.661, 'eval_steps_per_second': 51.506}
{'eval_loss': 1.5829875469207764, 'eval_model_preparation_time': 0.0025, 'eval_acc': 0.6200212426978227, 'eval_runtime': 9.1119, 'eval_samples_per_second': 826.608, 'eval_steps_per_second': 51.69}
{'eval_loss': 1.5851953029632568, 'eval_model_preparation_time': 0.0025, 'eval_acc': 0.6196229421136484, 'eval_runtime': 9.1301, 'eval_samples_per_second': 824.962, 'eval_steps_per_second': 51.587}
{'eval_loss': 1.5749337673187256, 'eval_model_preparation_time': 0.0025, 'eval_acc': 0.6196229421136484, 'eval_runtime': 9.1525, 'eval_samples_per_second': 822.946, 'eval_steps_per_second': 51.461}
{'eval_loss': 1.577478051185608, 'eval_model_preparation_time': 0.0025, 'eval_acc': 0.6213489113117366, 'eval_runtime': 9.2853, 'eval_samples_per_second': 811.174, 'eval_steps_per_second': 50.725}
{'eval_loss': 1.573008418083191, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6220127456186936, 'eval_runtime': 9.187, 'eval_samples_per_second': 819.854, 'eval_steps_per_second': 51.268}
{'eval_loss': 1.569128155708313, 'eval_model_preparation_time': 0.0025, 'eval_acc': 0.6261285183218269, 'eval_runtime': 9.1445, 'eval_samples_per_second': 823.665, 'eval_steps_per_second': 51.506}
{'eval_loss': 1.5676628351211548, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6242697822623473, 'eval_runtime': 9.1381, 'eval_samples_per_second': 824.244, 'eval_steps_per_second': 51.543}
{'eval_loss': 1.5662463903427124, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6254646840148699, 'eval_runtime': 9.0829, 'eval_samples_per_second': 829.25, 'eval_steps_per_second': 51.856}
{'eval_loss': 1.5701191425323486, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6271906532129581, 'eval_runtime': 9.1145, 'eval_samples_per_second': 826.372, 'eval_steps_per_second': 51.676}
{'eval_loss': 1.5681451559066772, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6225438130642592, 'eval_runtime': 9.1664, 'eval_samples_per_second': 821.695, 'eval_steps_per_second': 51.383}
{'eval_loss': 1.557671308517456, 'eval_model_preparation_time': 0.0033, 'eval_acc': 0.6301115241635687, 'eval_runtime': 9.1653, 'eval_samples_per_second': 821.799, 'eval_steps_per_second': 51.39}
{'eval_loss': 1.5540988445281982, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.6307753584705258, 'eval_runtime': 9.241, 'eval_samples_per_second': 815.061, 'eval_steps_per_second': 50.968}
{'eval_loss': 1.5570355653762817, 'eval_model_preparation_time': 0.003, 'eval_acc': 0.6290493892724376, 'eval_runtime': 9.2978, 'eval_samples_per_second': 810.086, 'eval_steps_per_second': 50.657}
{'eval_loss': 1.5479413270950317, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.6317047265002655, 'eval_runtime': 9.2829, 'eval_samples_per_second': 811.383, 'eval_steps_per_second': 50.738}
{'eval_loss': 1.554052472114563, 'eval_model_preparation_time': 0.0065, 'eval_acc': 0.6307753584705258, 'eval_runtime': 9.2604, 'eval_samples_per_second': 813.352, 'eval_steps_per_second': 50.862}
{'eval_loss': 1.551064372062683, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.6307753584705258, 'eval_runtime': 9.2291, 'eval_samples_per_second': 816.118, 'eval_steps_per_second': 51.034}
{'eval_loss': 1.5403110980987549, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.6342272968667021, 'eval_runtime': 9.197, 'eval_samples_per_second': 818.967, 'eval_steps_per_second': 51.213}
